zona,mes,C3,CB,diferencia_kWh,variacion_pct
PRIMERAPLANTAALTA:1PAXOFX01,7,147.68101624184865,194.3263826427306,-46.645366400881954,-24.003619975080557
PRIMERAPLANTAALTA:1PAXOFX01,8,57.84163136873736,161.90813400859943,-104.06650263986208,-64.27503057649642
PRIMERAPLANTAALTA:1PAXOFX01,9,14.265553047160411,163.99631744786058,-149.73076440070017,-91.30129671863159
PRIMERAPLANTAALTA:1PAXOFX01,10,105.12387380595754,221.96609867715435,-116.8422248711968,-52.63967135861666
PRIMERAPLANTAALTA:1PAXOFX01,11,137.16112932851354,215.84459880975547,-78.68346948124193,-36.45375882237999
PRIMERAPLANTAALTA:1PAXOFX01,12,329.315792008662,369.87181074031366,-40.55601873165165,-10.964885009884128
PRIMERAPLANTAALTA:1PAXOFX02,1,320.61908675235117,311.38071751755206,9.238369234799109,2.9669047295063655
PRIMERAPLANTAALTA:1PAXOFX02,2,356.8871858714903,343.72466742038864,13.162518451101676,3.8293784818775904
PRIMERAPLANTAALTA:1PAXOFX02,3,431.48453279671133,409.9139587736027,21.570574023108634,5.262219927236525
PRIMERAPLANTAALTA:1PAXOFX02,4,389.4799720129551,378.46306357168777,11.016908441267333,2.9109600121335304
PRIMERAPLANTAALTA:1PAXOFX02,5,378.4218059388092,372.64743245882704,5.7743734799821596,1.5495540763239142
PRIMERAPLANTAALTA:1PAXOFX02,6,243.8656826491796,255.09212780398428,-11.22644515480468,-4.400937516751284
PRIMERAPLANTAALTA:1PAXOFX02,7,156.97977234250254,183.5393203467912,-26.559548004288644,-14.470767328823763
PRIMERAPLANTAALTA:1PAXOFX02,8,95.13082151338229,138.071405045296,-42.9405835319137,-31.100272730495153
PRIMERAPLANTAALTA:1PAXOFX02,9,50.279145897016974,111.14601941901626,-60.86687352199928,-54.76298102276923
PRIMERAPLANTAALTA:1PAXOFX02,10,89.04405257101106,128.6470068448251,-39.60295427381405,-30.784201859887343
PRIMERAPLANTAALTA:1PAXOFX02,11,94.98027706476236,118.00091329961293,-23.02063623485057,-19.508862763120735
PRIMERAPLANTAALTA:1PAXOFX02,12,195.72697153586086,216.9899646983372,-21.262993162476334,-9.79906752463713
PRIMERAPLANTAALTA:1PAXOFX03,1,526.3608571538434,525.554958182127,0.805898971716374,0.15334247335501228
PRIMERAPLANTAALTA:1PAXOFX03,2,587.7064728054905,582.9404494141811,4.766023391309432,0.8175832361777243
PRIMERAPLANTAALTA:1PAXOFX03,3,687.5392272293917,678.9678559680738,8.57137126131795,1.2624119368798203
PRIMERAPLANTAALTA:1PAXOFX03,4,597.9755993599,593.6004886488591,4.375110711040861,0.7370463459353606
PRIMERAPLANTAALTA:1PAXOFX03,5,542.3146472624497,548.9257648950164,-6.611117632566675,-1.2043737159670524
PRIMERAPLANTAALTA:1PAXOFX03,6,286.2150487174006,336.80123023577914,-50.58618151837857,-15.019595232168685
PRIMERAPLANTAALTA:1PAXOFX03,7,176.2173061790625,218.4181299802144,-42.2008238011519,-19.321117621955057
PRIMERAPLANTAALTA:1PAXOFX03,8,79.45018769794083,165.3128617729966,-85.86267407505576,-51.939500141834216
PRIMERAPLANTAALTA:1PAXOFX03,9,14.336011600342744,132.83014602305047,-118.49413442270773,-89.20726052815228
PRIMERAPLANTAALTA:1PAXOFX03,10,92.92833928597925,184.1074825319895,-91.17914324601024,-49.52495248538715
PRIMERAPLANTAALTA:1PAXOFX03,11,118.73238208256298,178.26124835805635,-59.52886627549337,-33.3941710965265
PRIMERAPLANTAALTA:1PAXOFX03,12,318.39182833310315,354.8057166577277,-36.413888324624565,-10.263050062339369
PRIMERAPLANTAALTA:1PAXPAS,1,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,2,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,3,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,4,0.0,0.0,0.0,
