caso,zona,mes,variable,valor,horas
CB,PLANTABAJA:PBXOFX01,2,temperatura_operativa_C,28.17424733283933,672
CB,PLANTABAJA:PBXOFX01,3,temperatura_operativa_C,28.807143691068514,744
CB,PLANTABAJA:PBXOFX01,4,temperatura_operativa_C,27.75194145384705,720
CB,PLANTABAJA:PBXOFX01,5,temperatura_operativa_C,27.75715567507816,744
CB,PLANTABAJA:PBXOFX01,6,temperatura_operativa_C,26.50394527751236,720
CB,PLANTABAJA:PBXOFX01,7,temperatura_operativa_C,25.295239786482437,744
CB,PLANTABAJA:PBXOFX01,8,temperatura_operativa_C,25.39374747807077,744
CB,PLANTABAJA:PBXOFX01,9,temperatura_operativa_C,25.174968169087315,720
CB,PLANTABAJA:PBXOFX01,10,temperatura_operativa_C,25.441414511647576,744
CB,PLANTABAJA:PBXOFX01,11,temperatura_operativa_C,25.50625304985977,720
CB,PLANTABAJA:PBXOFX01,12,temperatura_operativa_C,26.482526924137517,744
CB,PRIMERAPLANTAALTA:1PAXDC,1,temperatura_operativa_C,24.26989437948348,744
CB,PRIMERAPLANTAALTA:1PAXDC,2,temperatura_operativa_C,24.56740922467889,672
CB,PRIMERAPLANTAALTA:1PAXDC,3,temperatura_operativa_C,24.847577100378167,744
CB,PRIMERAPLANTAALTA:1PAXDC,4,temperatura_operativa_C,24.420558968165874,720
CB,PRIMERAPLANTAALTA:1PAXDC,5,temperatura_operativa_C,24.459900271352478,744
CB,PRIMERAPLANTAALTA:1PAXDC,6,temperatura_operativa_C,24.069209285836475,720
CB,PRIMERAPLANTAALTA:1PAXDC,7,temperatura_operativa_C,23.6765619143795,744
CB,PRIMERAPLANTAALTA:1PAXDC,8,temperatura_operativa_C,23.783801178590096,744
CB,PRIMERAPLANTAALTA:1PAXDC,9,temperatura_operativa_C,23.69181100523664,720
CB,PRIMERAPLANTAALTA:1PAXDC,10,temperatura_operativa_C,23.760242089987333,744
CB,PRIMERAPLANTAALTA:1PAXDC,11,temperatura_operativa_C,23.70866350528407,720
CB,PRIMERAPLANTAALTA:1PAXDC,12,temperatura_operativa_C,23.954712066885243,744
CB,PRIMERAPLANTAALTA:1PAXES,1,temperatura_operativa_C,27.678142575835384,744
CB,PRIMERAPLANTAALTA:1PAXES,2,temperatura_operativa_C,28.584416372878373,672
CB,PRIMERAPLANTAALTA:1PAXES,3,temperatura_operativa_C,29.798170579535245,744
CB,PRIMERAPLANTAALTA:1PAXES,4,temperatura_operativa_C,28.227420347998173,720
CB,PRIMERAPLANTAALTA:1PAXES,5,temperatura_operativa_C,28.156264698584316,744
CB,PRIMERAPLANTAALTA:1PAXES,6,temperatura_operativa_C,26.748434588934124,720
CB,PRIMERAPLANTAALTA:1PAXES,7,temperatura_operativa_C,25.326901334098118,744
CB,PRIMERAPLANTAALTA:1PAXES,8,temperatura_operativa_C,25.44165928444175,744
CB,PRIMERAPLANTAALTA:1PAXES,9,temperatura_operativa_C,25.070402959702395,720
CB,PRIMERAPLANTAALTA:1PAXES,10,temperatura_operativa_C,25.34178959407328,744
CB,PRIMERAPLANTAALTA:1PAXES,11,temperatura_operativa_C,25.204549415541532,720
CB,PRIMERAPLANTAALTA:1PAXES,12,temperatura_operativa_C,26.18435580566927,744
CB,PRIMERAPLANTAALTA:ASCENSOR,1,temperatura_operativa_C,27.42742658423711,744
CB,PRIMERAPLANTAALTA:ASCENSOR,2,temperatura_operativa_C,28.250775134204893,672
CB,PRIMERAPLANTAALTA:ASCENSOR,3,temperatura_operativa_C,29.454331616231606,744
CB,PRIMERAPLANTAALTA:ASCENSOR,4,temperatura_operativa_C,28.090643235790775,720
CB,PRIMERAPLANTAALTA:ASCENSOR,5,temperatura_operativa_C,27.856363813284354,744
CB,PRIMERAPLANTAALTA:ASCENSOR,6,temperatura_operativa_C,26.51338874637403,720
CB,PRIMERAPLANTAALTA:ASCENSOR,7,temperatura_operativa_C,25.17079289251601,744
CB,PRIMERAPLANTAALTA:ASCENSOR,8,temperatura_operativa_C,25.08625841516876,744
CB,PRIMERAPLANTAALTA:ASCENSOR,9,temperatura_operativa_C,24.735676878163456,720
CB,PRIMERAPLANTAALTA:ASCENSOR,10,temperatura_operativa_C,24.96576954622274,744
CB,PRIMERAPLANTAALTA:ASCENSOR,11,temperatura_operativa_C,24.980214919084776,720
CB,PRIMERAPLANTAALTA:ASCENSOR,12,temperatura_operativa_C,25.9913494684978,744
CB,PRIMERAPLANTAALTA:1PAXSR,1,temperatura_operativa_C,27.040790959687794,744
CB,PRIMERAPLANTAALTA:1PAXSR,2,temperatura_operativa_C,28.099154629265925,672
CB,PRIMERAPLANTAALTA:1PAXSR,3,temperatura_operativa_C,29.162257177241724,744
CB,PRIMERAPLANTAALTA:1PAXSR,4,temperatura_operativa_C,28.05413262599191,720
CB,PRIMERAPLANTAALTA:1PAXSR,5,temperatura_operativa_C,28.29162959144903,744
CB,PRIMERAPLANTAALTA:1PAXSR,6,temperatura_operativa_C,27.038873295215236,720
CB,PRIMERAPLANTAALTA:1PAXSR,7,temperatura_operativa_C,25.596071055135322,744
CB,PRIMERAPLANTAALTA:1PAXSR,8,temperatura_operativa_C,25.780672316062034,744
CB,PRIMERAPLANTAALTA:1PAXSR,9,temperatura_operativa_C,25.298350472154805,720
CB,PRIMERAPLANTAALTA:1PAXSR,10,temperatura_operativa_C,25.348459173847992,744
CB,PRIMERAPLANTAALTA:1PAXSR,11,temperatura_operativa_C,25.097527887550697,720
CB,PRIMERAPLANTAALTA:1PAXSR,12,temperatura_operativa_C,25.945595928693642,744
CB,PRIMERAPLANTAALTA:1PAXPAS,1,temperatura_operativa_C,28.39814988788526,744
CB,PRIMERAPLANTAALTA:1PAXPAS,2,temperatura_operativa_C,29.117858479215187,672
CB,PRIMERAPLANTAALTA:1PAXPAS,3,temperatura_operativa_C,30.097811853456594,744
CB,PRIMERAPLANTAALTA:1PAXPAS,4,temperatura_operativa_C,28.53827116596838,720
CB,PRIMERAPLANTAALTA:1PAXPAS,5,temperatura_operativa_C,28.18205893903625,744
CB,PRIMERAPLANTAALTA:1PAXPAS,6,temperatura_operativa_C,26.830764976839983,720
CB,PRIMERAPLANTAALTA:1PAXPAS,7,temperatura_operativa_C,25.55037706314304,744
CB,PRIMERAPLANTAALTA:1PAXPAS,8,temperatura_operativa_C,25.543947227348102,744
CB,PRIMERAPLANTAALTA:1PAXPAS,9,temperatura_operativa_C,25.321416546811427,720
CB,PRIMERAPLANTAALTA:1PAXPAS,10,temperatura_operativa_C,25.787728957480756,744
CB,PRIMERAPLANTAALTA:1PAXPAS,11,temperatura_operativa_C,25.82100249695514,720
CB,PRIMERAPLANTAALTA:1PAXPAS,12,temperatura_operativa_C,26.873658779314134,744
CB,PRIMERAPLANTAALTA:1PAXOFX02,1,temperatura_operativa_C,27.209344341211857,744
CB,PRIMERAPLANTAALTA:1PAXOFX02,2,temperatura_operativa_C,27.97937172213023,672
CB,PRIMERAPLANTAALTA:1PAXOFX02,3,temperatura_operativa_C,28.746246543077323,744
CB,PRIMERAPLANTAALTA:1PAXOFX02,4,temperatura_operativa_C,27.95106279552308,720
CB,PRIMERAPLANTAALTA:1PAXOFX02,5,temperatura_operativa_C,27.86221690719142,744
CB,PRIMERAPLANTAALTA:1PAXOFX02,6,temperatura_operativa_C,26.763481575648278,720
CB,PRIMERAPLANTAALTA:1PAXOFX02,7,temperatura_operativa_C,25.554078979118735,744
CB,PRIMERAPLANTAALTA:1PAXOFX02,8,temperatura_operativa_C,25.458256300453336,744
