"Date/Time";"Glazing";"Walls";"Ceilings (int)";"Floors (int)";"Ground Floors";"Partitions (int)";"Roofs";"Floors (ext)";"Internal Natural vent.";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Air";"External Vent.";"Total Cooling";"General Lighting";"Miscellaneous";"Catering";"Computer + Equip";"Occupancy";"Solar Gains Interior Windows";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Room Electricity";"Lighting";"Cooling (Electricity)";"Outside Dry-Bulb Temperature"
"";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"ac/h";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"°C";"°C";"°C";"kWh";"kWh";"kWh";"°C"
"24/01/2025";"-26,12559";"1,990532";"4,460354";"-3,840083";"-41,12661";"-7,16949";"-3,063556";"-0,555635";"0,025232";"-243,4377";"1,52954";"-0,828905";"-0,492137";"-392,2966";"44,19941";"95,23257";"0,877635";"13,83909";"18,73095";"9,805082";"128,1959";"1,013574";"-226,865";"27,44076";"29,13828";"28,28952";"109,9493";"44,19941";"208,2116";"27,02569"
"25/01/2025";"-29,44999";"8,153757";"5,01439";"-3,926293";"-42,02612";"-4,754371";"-2,635351";"-0,497368";"1,757051";"-242,6661";"1,248476";"-0,905867";"-2,818814";"-376,9614";"43,48851";"95,17348";"0,877635";"13,83909";"18,47922";"9,758157";"126,6896";"0,7627482";"-228,7742";"27,62699";"29,34677";"28,48688";"109,8902";"43,48851";"200,0991";"26,52569"
"26/01/2025";"-40,44352";"-1,867835";"6,792225";"-7,941236";"-49,10876";"-15,47078";"-5,470813";"-0,935997";"-0,8552";"-108,2512";"0,5468721";"-2,438497";"-5,373316";"-117,4353";"1,883448";"94,24216";"0";"0";"0,4162353";"9,9029";"128,7476";"0,0360843";"-108,3947";"29,46582";"30,07211";"29,76896";"94,24216";"1,883448";"65,24184";"26,61319"
"27/01/2025";"-29,49528";"16,56324";"7,51015";"-3,628082";"-44,91754";"3,144185";"-0,947777";"-0,464954";"0,434055";"-259,804";"1,459696";"-1,734938";"-2,871454";"-405,1278";"44,19941";"95,23257";"0,877635";"13,83909";"18,48152";"9,570077";"123,8261";"0,9771033";"-243,7849";"28,03582";"29,97172";"29,00377";"109,9493";"44,19941";"215,1814";"27,03229"
"28/01/2025";"-23,11417";"11,2891";"6,395061";"-4,307498";"-43,29759";"1,32876";"-0,825372";"-0,491792";"1,389653";"-255,0441";"1,372258";"-0,65542";"-0,135589";"-399,0232";"44,19941";"95,23257";"0,877635";"13,83909";"18,57315";"8,620374";"116,8894";"0,9737502";"-238,8504";"27,99325";"29,77499";"28,88412";"109,9493";"44,19941";"211,8081";"27,48646"
"29/01/2025";"-32,60218";"3,234815";"6,749032";"-1,28383";"-38,93419";"9,827276";"1,178075";"-0,736798";"2,936649";"-238,7178";"1,009018";"-0,27244";"-0,697053";"-387,1507";"44,19941";"95,23257";"0,877635";"13,83909";"18,5936";"8,00479";"103,6642";"0,489903";"-228,2196";"27,78821";"29,40686";"28,59753";"109,9493";"44,19941";"205,9264";"26,8809"
"30/01/2025";"-25,01811";"-16,93149";"4,654623";"-2,08009";"-32,76458";"8,683891";"-0,204436";"-0,637834";"3,743831";"-219,6885";"1,001036";"-0,246874";"-0,548213";"-369,5038";"44,19941";"95,23257";"0,877635";"13,83909";"18,82567";"6,940789";"92,02073";"0,8994526";"-204,147";"27,34014";"28,64229";"27,99121";"109,9493";"44,19941";"196,5955";"26,95938"
"31/01/2025";"-38,48445";"-21,61159";"5,057644";"-1,0067";"-32,20292";"7,775224";"-0,990521";"-1,028284";"1,875063";"-218,1634";"1,0912";"-0,253493";"-0,641183";"-368,0411";"44,19941";"95,23257";"0,877635";"13,83909";"18,866";"8,363893";"110,4819";"0,7646616";"-205,1133";"26,97439";"28,30486";"27,63962";"109,9493";"44,19941";"195,6838";"26,36597"
"01/02/2025";"-19,50103";"-21,45659";"1,870231";"-2,898692";"-26,2258";"-0,694901";"-3,125857";"-0,65222";"2,007202";"-214,6292";"1,698551";"0,091952";"1,702334";"-343,0675";"43,48851";"95,17348";"0,877635";"13,83909";"18,88813";"6,928449";"98,60928";"0,942534";"-200,0949";"26,78767";"28,0643";"27,42599";"109,8902";"43,48851";"182,2536";"26,5691"
"02/02/2025";"-29,2185";"-11,05154";"3,011734";"-4,2149";"-32,8242";"-12,14109";"-4,603892";"-0,826939";"-1,352444";"-104,278";"0,8549126";"-1,70596";"-4,43153";"-115,5013";"1,883448";"94,24216";"0";"0";"0,492197";"7,506333";"103,6542";"0,1372723";"-104,3139";"28,22859";"28,78609";"28,50734";"94,24216";"1,883448";"64,16737";"26,72083"
"03/02/2025";"-21,62668";"1,471531";"3,360899";"-2,101404";"-32,14643";"-2,467009";"-1,592993";"-0,54131";"0,510293";"-235,1908";"1,426135";"-0,520925";"0,071329";"-394,3919";"44,19941";"95,23257";"0,877635";"13,83909";"18,80537";"7,35533";"99,10081";"1,086736";"-217,443";"27,36536";"28,92763";"28,14649";"109,9493";"44,19941";"209,6559";"26,87014"
"04/02/2025";"-25,65425";"1,929389";"3,41084";"-1,627236";"-31,37628";"0,501717";"-1,042679";"-0,636526";"1,877488";"-223,2185";"1,123997";"-0,645494";"-1,80853";"-347,6383";"44,19941";"95,23257";"0,877635";"13,83909";"18,83172";"7,087446";"93,93722";"0,5373912";"-212,474";"27,38536";"28,87456";"28,12996";"109,9493";"44,19941";"184,8237";"26,18819"
"05/02/2025";"-22,97376";"-2,725057";"3,154965";"-0,912831";"-28,80196";"3,421654";"-0,135501";"-0,669932";"-0,376958";"-217,4233";"1,517555";"-0,566985";"-1,075972";"-347,9001";"44,19941";"95,23257";"0,877635";"13,83909";"18,94776";"6,357144";"85,35416";"0,5430001";"-206,5346";"27,19079";"28,6687";"27,92975";"109,9493";"44,19941";"185,3152";"26,39063"
"06/02/2025";"-23,3428";"-0,016966";"2,982439";"-3,161061";"-34,03429";"-6,308698";"-2,343482";"-0,527209";"-0,785811";"-237,6033";"1,703758";"-0,473469";"0,540983";"-377,1703";"44,19941";"95,23257";"0,877635";"13,83909";"18,84577";"8,533272";"115,2798";"0,9311343";"-221,7941";"27,24432";"28,90121";"28,07277";"109,9493";"44,19941";"200,4269";"26,85938"
"07/02/2025";"-29,36083";"-3,835728";"3,840849";"-1,999844";"-34,54009";"-1,305151";"-1,606743";"-0,726634";"-3,396037";"-237,3315";"2,133079";"-0,921007";"0,163763";"-376,5148";"44,19941";"95,23257";"0,877635";"13,83909";"18,92913";"9,382539";"122,9757";"0,6977739";"-224,8049";"27,18397";"28,95107";"28,06752";"109,9493";"44,19941";"199,7734";"26,48924"
"08/02/2025";"-25,28381";"-5,88226";"3,482436";"-2,495142";"-34,86284";"-2,250979";"-2,082017";"-0,651216";"-1,311723";"-249,4413";"2,219951";"0,669591";"5,257148";"-394,1944";"43,48851";"95,17348";"0,877635";"13,83909";"18,67157";"9,399558";"122,8605";"1,037725";"-232,2945";"27,21911";"28,95793";"28,08852";"109,8902";"43,48851";"209,3764";"27,02743"
"09/02/2025";"-40,19238";"-15,62598";"4,676889";"-4,809119";"-40,0902";"-9,795339";"-4,267584";"-1,218482";"-3,625057";"-106,1812";"1,458776";"-3,5225";"-7,399987";"-117,8053";"1,883448";"94,24216";"0";"0";"0,465311";"9,795635";"128,8709";"0,101683";"-106,2478";"28,64728";"29,3642";"29,00574";"94,24216";"1,883448";"65,4474";"26,6375"
"10/02/2025";"-28,14006";"2,096255";"4,653512";"-2,536466";"-36,38456";"0,763545";"-2,040554";"-0,579853";"-1,319977";"-244,9776";"1,673151";"-1,212675";"-1,308987";"-379,2501";"44,19941";"95,23257";"0,877635";"13,83909";"18,73142";"9,100845";"120,9978";"0,828142";"-230,0768";"27,49034";"29,28666";"28,3885";"109,9493";"44,19941";"201,3886";"26,85139"
"11/02/2025";"-25,61991";"-0,840322";"4,295635";"-2,406398";"-35,46537";"0,708412";"-1,047326";"-0,624848";"-0,599921";"-249,6651";"2,014793";"-0,093144";"2,901429";"-390,6339";"44,19941";"95,23257";"0,877635";"13,83909";"18,81316";"8,711073";"117,1653";"0,9970852";"-232,8849";"27,41738";"29,18037";"28,29888";"109,9493";"44,19941";"207,633";"27,11667"
"12/02/2025";"-22,21603";"2,784726";"3,909288";"-1,665136";"-31,95764";"2,816339";"-0,494312";"-0,522434";"1,829999";"-238,4348";"1,55248";"-0,82531";"-0,904705";"-417,1291";"44,19941";"95,23257";"0,877635";"13,83909";"18,72731";"7,094632";"94,70288";"0,9533924";"-222,041";"27,36356";"29,00004";"28,1818";"109,9493";"44,19941";"221,8795";"26,86458"
"13/02/2025";"-26,54823";"-5,564033";"3,503977";"-1,553314";"-28,4017";"4,839209";"0,084039";"-0,691815";"-1,527001";"-210,0874";"1,504299";"-0,625272";"-1,783127";"-328,9623";"44,19941";"95,23257";"0,877635";"13,83909";"19,04966";"6,453874";"89,62554";"0,3221471";"-203,889";"27,16497";"28,60772";"27,88635";"109,9493";"44,19941";"174,7589";"26,07118"
