id_eso,ambiente,objeto,variable_unidad_original,frecuencia,mes,valor_original,estadisticos_adicionales_orden_eso
161,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXREX01,Zone People Sensible Heating Rate [W],Monthly,1,39.4441988914687,0.0| 1| 1|10|122.30258197026922| 3| 9|10
165,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXSEX01,Zone People Sensible Heating Rate [W],Monthly,1,234.58857812187314,0.0| 1| 1|10|717.1083704726246| 3| 9|10
169,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03,Zone People Sensible Heating Rate [W],Monthly,1,29.28017766355146,0.0| 1| 1|10|84.04136378459504| 4| 9|10
173,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02,Zone People Sensible Heating Rate [W],Monthly,1,21.481153096897534,0.0| 1| 1|10|62.326365814934117| 1| 9|20
177,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01,Zone People Sensible Heating Rate [W],Monthly,1,27.66300451479951,0.0| 1| 1|10|79.58433722493777| 1| 9|20
181,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR,Zone People Sensible Heating Rate [W],Monthly,1,27.600597451967294,0.0| 1| 1|10|78.38295341249511| 3| 9|10
185,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXPAS,Zone People Sensible Heating Rate [W],Monthly,1,45.17435672164093,0.0| 1| 1|10|147.87341484234597| 4| 9|10
189,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02,Zone People Sensible Heating Rate [W],Monthly,1,22.899294266498356,0.0| 1| 1|10|68.32980710586881|27| 9|20
193,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX02,Zone People Sensible Heating Rate [W],Monthly,1,8.190647146888788,0.0| 1| 1|10|30.37374485201194| 4|11|10
197,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX01,Zone People Sensible Heating Rate [W],Monthly,1,6.716569270585664,0.0| 1| 1|10|25.005749061017505| 4|11|10
201,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03,Zone People Sensible Heating Rate [W],Monthly,1,40.60068970583808,0.0| 1| 1|10|124.40650637288799| 1| 9|20
205,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX01,Zone People Sensible Heating Rate [W],Monthly,1,33.025989524203868,0.0| 1| 1|10|103.4267982306243| 1| 9|20
