zona,mes,C3,CB,diferencia_kWh,variacion_pct
SEGUNDAPLANTAALTA:2PAXES,10,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,11,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,12,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,1,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,2,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,3,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,4,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,5,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,6,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,7,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,8,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,9,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,10,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,11,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,12,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXSUM,1,618.0468154846706,867.0325083660408,-248.98569288137026,-28.71699624626466
SEGUNDAPLANTAALTA:2PAXSUM,2,702.9405502905379,970.5145782514231,-267.57402796088525,-27.570325470326637
SEGUNDAPLANTAALTA:2PAXSUM,3,831.8829778247853,1149.908457765516,-318.02547994073075,-27.656591078450962
SEGUNDAPLANTAALTA:2PAXSUM,4,715.4404440182656,937.3438758403215,-221.90343182205595,-23.673641823617956
SEGUNDAPLANTAALTA:2PAXSUM,5,567.2841803206667,817.6072840801492,-250.32310375948248,-30.616545208633877
SEGUNDAPLANTAALTA:2PAXSUM,6,211.819712951398,430.83418083806697,-219.01446788666897,-50.83497958788641
SEGUNDAPLANTAALTA:2PAXSUM,7,94.15279217719461,222.7959679431981,-128.64317576600348,-57.74035183563156
SEGUNDAPLANTAALTA:2PAXSUM,8,36.35514075254088,189.38366236407944,-153.02852161153857,-80.80344402536151
SEGUNDAPLANTAALTA:2PAXSUM,9,22.072886518307307,179.25430746755927,-157.18142094925196,-87.68627274281708
SEGUNDAPLANTAALTA:2PAXSUM,10,87.17796281318232,291.2777498246327,-204.09978701145036,-70.0705038865245
SEGUNDAPLANTAALTA:2PAXSUM,11,117.64078791361808,294.98960011026423,-177.34881219664615,-60.12036089758923
SEGUNDAPLANTAALTA:2PAXSUM,12,321.7117888161193,556.0988335281387,-234.38704471201942,-42.14845106308956
SEGUNDAPLANTAALTA:ASCENSOR,1,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,2,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,3,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,4,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,5,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,6,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,7,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,8,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,9,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,10,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,11,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,12,0.0,0.0,0.0,
